review,actual,predicted
penjelasan tidak aman tapi barang selamat dalam kotak pengiriman empat hari kurir wilayah pekanbaru daerah delima ramah kasi jempol isi kotak smartwatch kabel hanger yang pendek dan buku pandang tertawa itu saja deskripsi barang terbuat dari bahan yang mudah rusak bentuk sesuai yang gede rasa tapi warna agak sedikit tidak sesuai tapi bagus kok baterai tidak cepat habis pas masukkan baterai harus hati hati jangan tekan bagian tengah karena mudah rusak kapasitas baterai tiga ratus delapan puluh mah sebelum masukkan baterai terlebih dahulu masukkan kartu sim aku dan secara saya pakai empat tidak smartwatch ini bisa jadikan telepon genggam dua kualitas suara tiga lumayan bagus tidak cempreng tidak bisa browsing gara tidak jelas lutut lancar kirim kirim file kualitas kamera telepon genggam owh standar tertawa bisa foto pemakaman suara bagus layar tidak lapai anti gores beli sendiri tampilan layar bagus dan bisa atur kecepatan respon papan keyboard bagus gampang detik pesan walau pakai jempol untuk alasan lengkap lihat saja youtube inti untuk harga segini iya lumayan lah,1,0
barang sudah sampai lumayan mini,0,0
baterai tertawa kuat sepuluh menit parah,0,0
barang sudah saya terima pengiriman cepat terima kasih,1,1
powerbank bagus sesuai tapi kabel data tidak bisa dipaka atau saya coret terpaksa pakai kabel data yang kita,0,0
produk sangat baik,1,1
flash sale mantap warna biru stok buat dong tidak pernah dapat warna biru murung eey,1,1
harga turunin dong kok bahkan dnaikin harga mentang mentang laris,1,1
pengiriman cepat produk memuaskan sesuai ekspektasi saya terima kasih lazada,1,1
telepon genggam sampai dengan selamat,1,1
belanja puas,0,1
oke pengiriman cepat oke pokok lebih oke lagi kalau gratis ongkos kirim lagi,1,1
mantap,1,1
judul cognos delapan tapi ternyata tidak ada simcard tidak seperti youtube,0,1
barang sudah saya terima walaupun belum saya buka insya lho bagus cepat delever terima kasih lazada terima kasih kurir amanah pertahankan kurir,1,0
barang bagus sesuai gambar pengiriman cepat empat jam sampai begi,0,0
kecewa saya barang tidak sesuai seperti yang saya fikirkan,0,0
barang bagus tidak mengecewakan terima kasih lazada,1,1
pengiriman cepat harga lumayan kalau dapat tapi sayang jam biasa saja tidak ada yang special terima kasih lazada,0,0
tidak sesuai gambar yang sampai warna biru,0,0
barang bagus dan terbaik dikelas pengiriman secepat kilat puas belanja dan berlawanan lazada terima kasih,1,1
sangat bagus pengiriman cepat,1,1
terima kasih tom buat promo promo nya,1,1
terima kasih lazada dan kurir ninja van yang mau repl pengiriman paket ini,1,1
tempered glass ngaco,1,1
barang datang tepat waktu penjelasan rapi sesuai deskripsi,0,1
barang sesuai harapan tertawa saya pesan satu buah kenapa yang datang jadi tiga buah dan harus bayar ketiga untung murah tapi kecewa dan saat saya sms kurir tidak ada respon,0,0
barang sudah sesuai pengiriman cepat,0,1
cukup bintang lima,1,1
akhir dapat juga tertawa penjelasan kurang rapi,1,1
sesuai keterangan mantap lazada,1,1
barang tidak bisa menyimpan apapun mau itu gambar folder atau berkas lain,0,0
memuaskan lazada,1,1
barang bagus dan pengiriman lebih cepat,0,1
air dapat juga terima kasih atas kecepatan mengiriminya,1,1
wajib beli,1,1
senin kemarin pesan hari ini sudah sampai walau ada lecet dikit terima kasih iya,0,1
untuk opo bisa tidak,0,0
bintang yang bicara terima kasih,1,1
hari rabu pesan jumat sudah datang cek semua normal berjalan dengan baik dan harga tertawa sembilan ratus sembilan puluh sembilan ribu terima kasih lazada dan xiaomi,1,1
barang sesuai pesanan terima kasih,1,1
terima kasih saya sangat puas,0,1
bintang bisa bicara,1,1
kecewa sekali barang yang dikirim sudah sampai bisa dan sayang jam rusak lagi kalau jam rusak jangan dijual kasihan pembeli yang lain kalau jual lagi memberikan barang jangan asal tidak aku laku lagi itu barang,0,0
sudah lama ingin sekali beli redmi lima terutama yang warna biru sayang limited edition buat dapat yang emas pun tidak apa apa lah daripada tidak dapat sama sekali secara keseluruhan bagus phone dengan minimum sekali cinta,1,1
ada nomor empat puluh sembilan tidak,0,1
bagus barang juga murah,1,1
bagus dan murah semoga ada terus flash sale beginian,1,1
barang sudah saya terima bagus seperti yang saya bayangkan tapi sedikit kecewa karena saya pesan yang follback tapi yang dikirim killer,1,0
terima kasih juragan barang sampai selamat tujuan kulir juga oke lazada terima kasih,1,1
sudah lima kali flash sale tidak pernah bisa lagi sampai konfirmasi untuk transaksi alasan macam macam padahal tertawa semenit kurang dari jam sebelas aneh dan mengecewakan,0,1
tapi aku tadi baru mesin tapi tidak muncul alamat yah dan berapa hari nyatanya,0,0
mantap,1,1
produk oke harga murah kualitas tepi begitu pengiriman cepat pemesanan jumat senin datang puas dengan produk xiaomi,1,1
telepon genggam terbaik dikelasnya,1,1
ini bukan telepon genggam cerdas yang luar biasa tapi harga yang luar binasa bisa membiasakan kompetitor kompetitor lain kelas xiaomi merek yang bukan perusak harga pasar tapi benar benar perusak harga pasar mendingxiaomi,1,1
barang telah sampai cepat sekali sampai padang tertawa sehari senang bisa sukses dalam flash sale redmi lima tertawa terima kasih lazada,1,1
bagus barang sesuai pesanan,0,1
terima kasih lazada barang sudah sampai kurir ramah barang bungkus dengan rapi dan barang datang lebih awal dari dateline,0,1
saya sangat kecewa saya ikut flash sale berhasil ceckout pembayaran virtual ini waktu bayar saya tidak cek rupa harga yang terbayar kali satu sembilan puluh sembilan nol sesampai unit setelah enam hari saya tertawa dapat telepon genggam saja unit rugi dong empat ratus ribu chat lewat email balasan menunggu tiba permasalahan ini kami tutup bilang seperti begitu flash sale tapi tipu lebih baik saja kemarin beli yang dapat headset hal harga satu sembilan puluh sembilan nol tidak mesti repot ikut flash sale lazada lazada,1,1
jam bagus sekali tidak kelihatan jam murahan pengiriman juga sangat cepat pokok tidak mengecewakan terima kasih gereja terima kasih lazada,0,0
harga tidak terlalu mahal telepon genggam bagus puas,1,1
sangat bagus untu digunakan,0,1
sudah sampai cepat begitu terima kasih lazada,0,1
pengiriman harga dan kualitas produk mantap,1,1
bagus oke tapi harga naik sih,1,1
sesuai dengan yang dipesani kondisi produk bagus,1,1
barang sampai dengan cepat bagus dan dikelas rapi,0,1
pengiriman sangat cepat selalu banyak promo dan harga pasti paling murah senang bisa belanja lazada sangat direkomendasikan,1,1
barang sampai dengan baik harga terjangkau oke lah,1,1
barang oke rapi nomor lecet dan beset sempurna,1,1
barang datang keadaan baik dan bagus tapi tempered glass kecilan tapi mintalah,1,1
alhamdulilah dapat penuh perjuangan,1,1
barang beib dan datang dengan cepat,1,1
barang tidak mengecewakan mantap benar dengan harga begitu,0,1
barang sudah saya terima dalam kondisi penjelasan baik dan sesuai dengan yang saya pesan pengirimanpun tepat waktu saya sangat puas sekali untuk lazada sukses selalu,1,0
barang bagus sesuai dengan harga,1,0
awal aku kira setinggi tripod kamera ternyata semampai semester saja tidak sampai bahan ringkih mudah patah kalau outdoor mesti bongkar pasang pula casting waktu lebih baik pakai kamar saja tidak batu direkomendasikan kalau outdoor,0,0
power bank tidak bisa pakai mengecewakan,0,0
barang cepat sampai sesuai gambar kurang pas saja tapi bisa potong terima kasih selera,0,0
bagus tertawa tertawa harga yang jadi kejahatan,1,1
teratas,1,1
nomor comment pokok direkomendasikan sekali puaslah pengiriman hari sampai kurir juga ramah,1,1
saya selalu bersinar mengikuti flash sale lazada terutama telepon genggam xiaomi redmi lima ini tapi sayang sekali semakin hari justru harga semakin mahal agak kecewa juga,0,1
coba saja sering sering flash sale jadi semakin mantap mengedipkan mata,1,1
keren harganya,1,1
untuk harga begitu dengan spesifikasi begitu sudah wah lah menurutku,1,1
barang asli pengiriman cepat,1,1
penjelasan rapi barang oke,0,1
mantap iya mintalah selalu saja yang tidak mantap sialan,1,1
kualitas barang maupun pengiriman jempol,1,1
harga produk sangat baik pengiriman sangat cepat,1,1
bahagia bahagia bahagia kalau sekali phone dengan berat performa,1,1
mau belik tapi takut nanti tidak sesuai gambar,0,0
penjelasan iya kurang rapi dan tidak tahu safet tertawa pakai plastik biasa dan plastik gelembung tidak pakai dus tapi baru bagus deh tidak lazada dan selera iya,1,0
terima kasih,1,1
produk bagus,1,1
kalau hitung hitung saya beli smartwatch ini sudah lima buah dan alhamdulilah tidak ada barang yang cacat atau rusak program terima kasih onie dan lazada,0,0
bagus sudah barangnya,1,1
barang bagus penjelasan oke,0,1
barang sudah diterima dengan baik dan sesuai permintaan,0,1
barang dong cepat tapi bahan celana kaku cuci luntur,0,0
fungsi semua baik kondisi oke tapi kenapa kardus tidak ada label merk iya tapi gapapalah over barang bagus terima kasih lazada,1,1
permainan semua,1,1
barang tersungkur dengan baik,1,1
barang bagus sekali dengan harga segini dan pengiriman cepat,0,1
dapat harga bagus tapi informasi training barang kurang update,1,1
barang bagus tapi menelepon sama menerima telepon kok susah kata bisa menelpon dan menerima telepon tapi kok susah,0,0
cepat sampai mudah mudahan bisa dapat lagi flash sale besok,1,1
kualitas melebihi harga,1,1
barang sampai dengan selamat walau pengiriman lama terima kasih lazada,1,1
barang sehari sampai,1,1
harga murah pengiriman cepat sesuai dengan deskripsi barang,1,1
dapat sembilan ratus sembilan puluh sembilan flash sale lumayan buat ganti dan yang layar lagi pecah hehehehe mudah mudahan awet,1,1
terima kasih lazada pengiriman cepat sekali baru pesan kemarin hari ini sudah datang barang oke sekali penjelasan rapi,1,1
barang sudah terima sesuai pesanan dan berfungsi dengan baik,1,1
produk tidak tahan kalau,0,1
dompet tebal sesuai sama foto,0,0
bagus bagus bagus semoga dapat terus,1,1
keren,1,1
pas,0,1
mantap,1,1
sudah saya terima dengan baik,1,1
mantap cepat,1,1
barang itu sampai dengan kondisi aman,0,1
sesuai pesanan terima kasih,1,1
mana bang barang nya,0,1
saran saja untuk flash sale lebih baik pakai bayar di tempat jadi tidak was was barang tidak datang barang sampai kurang dari empat jam keren biarpun warna meleset nama juga flash sale tapi secara keseluruhan puas terima kasih kamulah,1,1
saya pesan onie cognos ngirim deh cepat dan barang bagus tapi setelah saya pasang sim kartu tidak terbaca saya ganti sim kartu lain tepi tidak ada layangan juga gina mau bisa pakai buat telepon atau sms apalagi buat internet tolong lazada jangan kirim saja kalau barang iya tidak bisa pakai buat apa maksih,0,0
mantap,0,1
mantap pengiriman cepat tapi sayang nomor perdana tiga di dalam dus tidak ada,1,1
kali pesan lazada barang oke tidak mengecewakan pengiriman cepat lagi terima kasih lazada,1,1
sesuai pesanan dan terima dengan tepat waktu,1,1
alhamdulilah,1,1
fmdnsbvdhxhghdb,0,1
lalu untuk uang alias murah meriah,1,1
harga naik bunda power bank bodoh,0,1
bagus sekali pokoknya,1,1
saya pesan hitam sama emas yang dikirim emas kedua soal kualitas barang oke tertawa tidak ada ust cah harus beli sendiri,1,1
harga cukup murah sepak mantap,1,1
walaupun sempat buat kecewa karena pengiriman sedikit terlambat tapi akhir barang sampai juga dan barang juga bagus terima kasih lazada,0,1
tidak ada kartu garansi,1,1
barang bagus cepat sampai,1,1
redmi lima ini sangatlah oke oke datangan oke produk oke warna dan harga terjangkau,1,1
mantap baterai lumayan awet dibanding barang sebelumnya,0,1
warna tidak sesuai pesona sama duduk tidak mau berdiri kukuh,0,0
saya mau keluhan ini kira kira masih ada garansi tidak iya baru minggu pemakaman tiba tiba tombol mati mohon bantuan,0,0
pertama kali dapat flash sale lazada,1,1
barang sudah datang barusan penjelasan rapi barang mulus semua menu bisa beroperasi dengan baik yah walaupun barang tidak sesuai sama yang dipesani pesan warna hitam yang datang killer tapi tidak ini juga cakep pengiriman cepat baru kemarin pesan sekarang sudah sampai terima kasih lazada teratas pokok,1,0
saya kali ikut flash sale gagal terus tapi yang ketiga ini berhasil bahkan saya beli telepon genggam langsung bayar tempat barang sampai tepat waktu rabu pesan jumat barang sampai dengan selamat tanpa cacat kurir pelanggan yang biasa kirim memang sangat terpercaya sopan ramah jadi saya kasih dia ips deh,1,1
susah juga dapat barang bagus dan murah,1,1
kami berterimakasih kepada lazada yang sebelum ada masalah verifikasi pembayaran mohon ke depan sistem perbaiki biar proses transaksi tidak terganggu,1,1
jam bagus sesuai gambar murah kelihatan elegan pengiriman cepat pesan kamis jumat sampai,0,0
jam sih bagus tapi susah menyesal waktu selalu balik balik saja,0,0
model bagus tapi tidak sesuai seperti gambar sudah begitu masa lem terbuka jelek sekali deh kalau bisa kirim foto saya kiriman ini foto tidak bagus sekali,0,0
jauh pengiriman cepat,1,1
lazada adalah yang terbaik pokonamah nanti sale lagi saya pemesanan lagi harus iya,1,1
asli,1,1
barang tiba sesuai dengan deskripsi produk terima kasih,1,1
emas bagus elegan dan pas saku,1,0
kok pas masukkan laptop tidak bisa buat sampai sih,0,0
bagaimana ini beli telepon genggam jam tangan sudah dikirim mati total terus barang sudah kembalikan uang belum ditransfer ditransfer mohon penjelasan,0,0
oke mantap terima kasih lazada,0,1
reply mantap,0,1
sesuai dengan harga,1,1
terima kasih barang sesuai pesanan dan cepat sekali satu hari sampai,1,1
terima kasih lazada barang kami sudah terima kurir ramah pertahankan,0,1
kurir ramah dan penjelasan rapi tapi anti gores dan capai amat telepon genggam saya,0,1
saya pemesanan tiga barang barang satu barang kipas pemesanan empat unit tapi unit kipas mengalami patah dari pada ribet unit kipas tersebut saya lem tidak alhamdulilah unit kipas bisa berfungsi dengan baik saran saya agar pengepaka dalam pengiriman buat lebih baik lagi agar unit melindungi dengan maksimal tho,1,0
realpict,0,1
penjelasan rapi seperti biasa pengiriman standar tiga hari nothing special,1,1
dengan harga ekonomis mendapatkan produk yang berkualitas,1,1
dimas sih adik,0,1
barang sudah sampai cukup memuaskan dan barang pas sekali pakai,0,1
harga murah tapi kualitas oke,0,1
pilih warna emas tapi yang datang dari reply sedih padahal plastik dus tulisan emas yah mau bagaimana lagi buat secara keseluruhan tidak jelek,0,0
alhamdulilah barang sudah sampai iya juragan tapi kali ini agak bedah kotak juragan kotak beneran terbuat dari kardus biasa kalau biasa pesan dapat kotak yang seperti kotak telepon genggam ada keterangan kali ini kotak yang terbuat dari kardus biasa dan tertawa ada keterangan merk saja pas sampai baterai juga kosong dan sudah terpasang juragan tapi alhamdulilah berpungsi dengan baik rumah kasih juragan,0,1
direkomendasikan produk dengan harga relatif murah dapat barang kualitas bagus pengiriman juga cepat lancar jaya besok beli lagi,1,1
barang sudah seminggu tidak datang datang,0,0
kurang puas karena tali agak keras alias keras,0,0
produk sih bagus sambung asli buktikan dengan mei tapi pengiriman lama terus penjelasan tidak kasih pelindung atau apa,1,1
bagus kemarin sebagian hari sampai pembayaran tempat jadi barang aman,1,1
pengiriman cepat dan tepat terima kasih lazada,1,1
barang bagus kualitas bahan bagus setiap karet juga kuat model juga bagus bagus recoment gawai olin dan lazada,0,0
telepon genggam ini mantap,1,1
matur nurun kurir lazada,1,1
barang dan harga sesuai sama deskripsi tapi agak kendra saja capai jadi lumayan risih tertawa,0,0
salah tipe telepon genggam,1,1
barang oke penjelasan rapi pengiriman cepat kurir ramah sekali terima kasih lazada mantap,1,1
penjelasan oke cepat samping,1,1
tidak ada masalah,1,1
barang bagus fitur yang diajarkan lebih dari biaya dikeluarkan puas sekali seperti jam ini over yang terbaik untuk this smartwatch,0,0
capai bagus produk tempered glass yang benar buat xiaomi redmi lima ukuran pas tidak kecilan seperti sebanyak tempered glass buat telepon genggam yang sama,1,1
bagaimana cara cibiran,0,1
terima kasih lazada barang telah sampai dalam kondisi baik,0,1
saya sudah kapok belanja santorini lebih baik beli dari selera luar negeri barang bagus semua beda sama santorini padahal saya setiap pesanan sekitar hutan tidak profesional santorini,0,0
yang sudah beli mau dong jam ini suport buat miko kartu tidak sama bisa dengarkan musik lewat earphone bluetoth tidak terima kasih,0,0
terima kasih lazada istri saya jadi senang ada piket datang belum coba sih tapi semoga swt masih lazada,0,1
mohon teliti lagi sebelum dikirim hidup mati jam saya pesan pasang yang satu pasang sih oke tapi yang sepasang lagi buat wanita mati saya kira batu baterai habis saya coba ganti baterai tapi ternyata tetap saja mati saran saya mohon teliti sebelum mengirimkan barang biar pelanggan puas dan toko ini pun untung dapat lima bintang,0,0
pengiriman cepat dan barang sesuai habis itu barang masih baru,1,1
terima kasih paket sudah sampai dalam sehari asli telepon genggam sambung,1,1
dan jika boleh pengiriman barang ketika sdhbdi banjarmasin dapat langsung dikirimkan alamat tujuan hari yang sama masih,1,1
barang bagus untuk harga seratus ribuan penjelasan rapi tertawa agak kecewa pengiriman terhitung agak lama,1,1
tapi tidak dapat earphone,1,1
oke,1,1
barang diterima dengan kondisi baik,1,1
barang sampai tepat waktu,1,1
mantap jaya barang oke pengiriman sesuai jadwal namun terkendali website flash sale harus koneksi ini indonesia baru kenceng,1,1
mantap sayang dalam dusbok tidak ada peraturan daerah atau artu tiga nya,0,1
tidak ada yang berfungsi sangat kecewa beli barang bangke,0,0
pengiriman sangat cepat,0,1
sangat nyaman dan keren untuk gunakan,0,1
penipuan uang tiga tidak kembalikan,1,1
promo dapat bonus handsfree nyata tidak ada kebohongan,1,1
terima kasih lazada barang selalu sampai tepat waktu,1,1
barang sudah diterima terima kasih,1,1
spesifikasi oke,1,1
barang memuaskan,1,1
mantap lazada harga muter garansi tam,1,1
oke,1,1
barang lumayan tapi kok aplikasi tidak ada kalkulator dan tidak ada jadinya,1,0
produk sesuai kemasan aman dan pengiriman cepat sampai terima kasih lazada,1,1
produk bagus tiga ngan harga terjangkau saya puas belanja lazada,0,1
barang bagus tertawa lama pengiriman semoga besok dapat lagi,1,1
ditunggu atau flash sale lanjut iya,1,1
kecewa saat tahu kartu bosan hilang tinggal bingkai saja jadi ragu halaman telepon genggam dan hanger asli atau tidak bisa saja diganti isinya,0,0
barang cukup bagus sebanding dengan harga,0,0
barang sudah diterima dengan baik estimasi barang sampai pas hari,1,1
pengiriman cepat dan barang bagus,1,1
warna menunjukan tinggi class,1,1
semoga barang iya bagus dan cepat pengiriman iya,0,1
ingin beli jadi mikir mikir banyak yang kecewa,0,0
mantap langsung sampai hari barang mantap tapi tidak ada faktur adakan kata ada kemasan tapi kenyataan tidak ada email juga tidak ada ditunggu faktur,1,1
terima kasih,1,1
produk bagus bagus lah,1,1
kecewa,1,0
keadaan barang saat sudah sampai sangat bagus dan waktu pengiriman sangat tepat,1,1
lumayan bagus sesuai dengan gambar dan kotak rapi,1,0
bagus keras kepala puas beli cepat sampai anak senang sekali pakai nya,0,0
barang sudah diterima dengan baik paket sudah sesuai pesanan terima kasih lazada,1,1
pengiriman cepat produk sangat bagus untuk harga terima kasih,1,1
terima kasih barang sesuai dengan digambar,0,0
sudah beli tapi tidak dikirim,0,1
kualitas berangkat jelek,0,1
baru kali ini pesanan minggu baru tiba sembilan hari status menunggu partner logistik tapi alhamdulilah sampai dengan baik semoga pelayan terutama ekspedisi tingkatan lagi,1,1
barang saya belum saya terima mengapa status barang sudah terima iya mohon bantu cek kemarin saya seharian rumah tidak ada dari lazada datang,0,0
kiriman cepat sekali terima kasih lazada,1,1
barang berhasil diterima dengan cepat serta memberikan hasil yang memuaskan dan warna sesuai pesanan,1,1
bee swalayan jogja,0,1
produk sesuai penjelasan rapi pengiriman cepat,1,1
tidak tidak berputar iya kapasnya,0,1
senang sudah pokok bagus sangat,1,1
barang sampai dengan baik tertawa sayang tempered glass tidak fel layar hpnya,1,1
barang segel kualitas bagus terima kasih lazada,1,1
barang oke dengan harga flash sale,1,1
jam tangan iya anti air tidak,0,0
teratas lazada,1,1
tolong percepat pengiriman over bagus,1,1
alhamdulilah barang sudah sampai penjelasan rapi dan cepat walaupun saat motivasi kesulitan cari indonesia output secara keseluruhan memuaskan terima kasih lazada,1,1
bagus dan baik,1,1
telepon genggam bagus keren cepat sampai pokok mantap,1,1
mana yang saya pesan sampai sampai sudah tangan lima belas sudah masuk hari akhir tapi barang sampai apa karena saya memilih pembayaran di tempat maka barang sengaja ditempatkan hari senin saya dapat email dari lazada sana tertulis barang tidak bisa sampaikan karena saya tidak berada di tempat padahal saya seharian di rumah tetapi tidak ada satu pun kurir yang datang kecewa berat,0,0
barang sih bagus tapi tidak ada kartu garansi apakah berlaku garansi terus bagaimana kalau mau klaim garansi resmi,1,1
saya tunggu flash sale tapi sekarang tidak bisa bayar tempat,1,1
pesan tanggal tiga september sampai tanggal empat september jam bagus puas mnjadi pelanggan lazada,0,0
terima kasih juragan barang oke pengiriman cepat penjelasan rapi,1,1
barang sehari sudah sampai dengan aman mantap pokoknya,1,1
barang yang saya terima rusak tali putus harap segera berikan solusi saya sangat kecewa,1,0
barang telah sampai puas sekali terima kasih,1,1
barang bagus tertawa sistem mediatek yang lama pengiriman juga agak terlambat,0,0
barang oke sesuai harapan,1,1
transaksi berhasil semoga kita bisa kerjasama dengan quantit yang lebih besar terima kasih,1,1
terbaik dunia akhirat,1,1
bagus pengiriman sangat cepat tapi kalau mau whatsapp bagaimana iya,1,1
tolong tangan kalau sudah dapat lagi yang bagus nanti kasih bintang lima tolong iya lazada,1,1
jam tangan sampai tapi tidak ada bagai kan lucu tidak bisa nyala saya benar benar kecewa tolong lazada proses,0,0
cepat sampai dan barang bagus terima kasih,0,1
jam bagus pengiriman cepat,0,0
lama,0,1
keren sekali jam puas senja lazada harga murah plus barang masih bagus tidak mengecewakan pokok barang datang tepat waktu,0,0
barang bagus sekali,0,1
paket tertawa jam saja tidak ada tempat dan jam yang dikirim mati total menyesal menyesal,0,0
bagus berfungsi kenceng lumayan,0,1
barang bagus harga murah tertawa pengiriman lumayan cepat,1,1
barang oke dan cepat sampai,1,1
bukan asli cek vendor generic ust dan umur sehari pakai langsung rusak ada harga ada rupa,0,0
mantap cepat pengiriman,1,1
datang cepat terima kasih,0,1
warna biru tidak sesuai dengan yang foto terus sim kartu sudah lansung main dimasuki plot saja wow sekali deh,1,0
satu hari setelah pesan barang diterima,1,1
fitur lengkap dan baik mantap,1,1
pengiriman cepat barang mantap pokoknya,1,1
sehari sampai alhamdulilah kurir amanah sudah sering juga nganterin kesini,1,1
bagus kondisi barang bagus,1,1
sampai dengan selamat tapi harga naik,1,1
barang kepada dengan harga,1,1
produk oke cepat sampai terima kasih lazada,1,1
produk sangat memuaskan pengiriman sangat cepat,1,1
yang sudah beli itu kalian pilih gambar atau dipikirin dari sana dan kalau pilihbsendiri bagaimana cara tolong jawab,0,0
mantap terima kasih,1,1
tolong dong lazada toko seperti ini tindak lanjut,0,1
barang sedikit cacat,1,1
pengiriman cepat sih tapi sayang tempered glass kecil tidak pas layar telepon genggam bungkus juga tertawa dikasih plastik saja pokok kecewa tapi sepadan lah dengan harga begitu tapi juga meskipun gratis tempered glass mbak di samping lah tempered glass kecil sekali,1,1
barang dong cepat sesuai jadwal pengiriman barang brfungsi bagus barang palsu jadi murah meriah,1,1
jam tangan bagus sesuai sama yang gambar sangat puas terima kasih lazada,0,0
lumayan bagus pengiriman juga cepat tapi anti gores kecilan,1,1
itu jam memang harga tiga puluh enam tiga ratus sembilan puluh sembilan atau satu jam harga tiga puluh enam tiga ratus sembilan puluh sembilan kak,0,0
bagus,1,1
tapi kotak kok tidak ada kartu garasi tam,1,1
barang bagus sesuai pesanan saya terima kasih iya,0,1
pesanan cepat sampai mau pesan lagi buat sudara,1,1
oka sekali,1,1
kemarin kemarin gratis ongkos kirim kenapa sekarang ada ongkirnya,0,1
masing tidak pas dan kaca anti pecah pun kecilan,1,0
produk yang sedang booming murah tapi tidak murahan maju terus lazada dan xiaomi,1,1
tidak menyesal beli produk dari super gawai olin ini barang seratus asli,0,1
bagus pas keren makin kece deh telepon genggam flash sale dari xiaomi lazada,1,1
kapan lagi dapat telepon genggam murah kepingan desain cakep dan tipis,1,1
cepat sampai tiga hari walau pakai pengiriman yang gratis dan bungkus bagus,1,1
berkat flash sale saya dapat income tambahan,1,1
mantap sudah kali ikut flash sale tidak mengecewakan barang sehari sampai dengan kurir lex indonesia garansi tam barang sesuai deskripsi,1,1
barang datang sesuai pesanan pengiriman cepat dan kurir ramah pokok puas,1,1
murah sih tapi sayang tidak bisa buat browsing,1,0
direkomendasikan memang teratas,1,1
pesan salsa pagi rabu sore sudah sampai,1,1
semoga tetap konsisten lazada bagus,1,1
satu hari langsung sampai lampung terima kasih lazada,1,1
oke minta,1,1
pengiriman cepat barang juga sesuai dengan yang pesan terima kasih lazada,1,1
lama pengiriman,1,1
barang yang saya terima tidak bisa berfungsi sama sekali anak saya sampai menangis nomor direkomendasikan sekali ini barang,0,0
anti track oke tertawa tempered glass saja admin kurang gede tidak fel,1,1
pesan dari tanggal tiga nol tujuh belas sampai sekarang belum sampai muda mudahan saja pas sampai sini barang tidak mengecewakan,0,0
terima kasih kamu selera dan lazada,1,1
lumayan lah dengan harga begitu tapi masih ada minus banyak,0,0
barang datang sesuai estimasi bagus pekerjaan lazada teks,0,1
kecewa sekali lihat fisik jam jam anak kecil kalau bisa return saya return ini jam,0,0
pengiriman cepat sehari sampai rumah penjelasan juga baik produk juga bagus terima kasih lazada dan one,1,1
barang lumayan tapi sayang aplikasi tidak ada kalkulator sama jadinya,1,0
pengiriman tepat waktu rapi tidak cacat sedikitpun,1,1
memuaskan,1,1
mantap sekali,1,1
kenapa sekarang ada ongkos pengiriman padahal belanja lebih dari harga keong karena belanja sebelum tidak pernah kena ongkos kirim minta dijawab iya kakak terima kasih,1,1
barang sudah saya terima lain kali jangan pakai kurir ninja stres kasian kurir ngeluh sama saya jauh sekali mbak begitu kata pakai one atau dan saja,1,0
pengiriman cepat namun sayang barang diterima dalam kondisi rusak tali smartwatch hampir putus,1,0
lumayan dapat harga murah dengan spesifikasi yang lumayan terima kasih lazada terima kasih selera,1,1
mantap sekali barang bagus pengiriman super super cepat,1,1
luar biasa lazada,1,1
barang datang puas deh setiap rabu dapat terus semoga besok dapat lagi terima kasih lazada tidak akan menua deh dan tidak akan lapak lain,1,1
baik cepat sampai,1,1
beli redmi lima berkali kali beli tanggal sembilan maret hari ini satu april belum sampai dan tidak ada kejelasan nomor training juga track tidak ada perubahan payah ekspedisi pakai pos indonesia coba pakai one,0,1
keren saya senang sekali tiga minggu berjuang akhir bisa dapat flash sale ini ternyata minggu terakhir pula teman teman tempat kerja pada iri,1,1
terima kasih lazada,1,1
barang cepat datang semua berfungsi dengan baik dan murah terima kasih,0,0
bintang lima,0,1
barang telah diterima kondisi baik keadaan bagus sesuai gambar semoga memuaskan konsumen oke lazada,0,0
sesuai dengan yang deskripsikan saya puas,1,1
kardus datang penyok sudah itu estimasi tanggal enam belas maksimal aku tanggal delapan belas belum lagi ini barang flash sale tanggal tiga belas datang duluan yang tanggal lima belakangan kelakuan yang mau beli waspada waspada,0,1
barang sampai saat ini belum sampai bahkan barang batal dikirim,0,0
barang saya terima tepat sesuai waktu yang diestimasikan pembayaran melalui indomaret tidak ada kendala kardus tertulis garansi tam tapi tidak ada kartu garansi atau faktur isi minimal handset dan hanger saja barang yang dikirim agak beda dengan yang diajarkan harus biru tapi yang dikirim emas paket bunda indosat tertawa brosur saja tapi sim kartu tidak ada tapi tidak masalah secara keseluruhan barang bagus performa mantap lancar tidak ada kendala jauh atas kompetitor selevel dari empat kali percobaan baru berhasil satu kali terima kasih lazada,1,1
barang sudah sampai terima kasih banyak lazada saya beli iya telepon genggam xiaomi redmi lima,0,1
jangan pakai tiki lagi,1,1
pengiriman lama tolong untuk perbaiki karena untuk kenyamanan pelanggan terima kasih,0,1
bagus saja,1,1
hai mbak atau mas keselek barang yang sudah saya pesan sudah datang barang bagus dan pakaian datang sesuai momen yang pas terima kasih lazada,0,0
gaul,1,1
tidak mau nyala tidak mau harga rusak,1,0
kecewa barang sih sudah sesuai gambar tapi ukuran jauh sekali biasa pakai nomor tujuh atau delapan tapi yang ini bukan delapan tapi kaya nomor empat puluh satu bahan bagus tolong kondisiku,0,0
terima kasih pesanan datang lebih cepat,1,1
mantap,1,1
barang mana kenapa status sudah terkirim,0,1
keren barang sesuai maju terus lazada,0,1
penjelasan bagus pengiriman cepat barang aman,1,1
mantap,1,1
